Pressure_psia,Temperature_F,Gas_SG,CO2_fraction,N2_fraction,Viscosity_cp
18854.9,188.3,0.5539,0.0,0.0,0.049281
18854.9,224.3,0.5539,0.0,0.0,0.046985
18854.9,260.3,0.5539,0.0,0.0,0.045027
18854.9,296.3,0.5539,0.0,0.0,0.043355
18854.9,332.3,0.5539,0.0,0.0,0.041925
18854.9,368.3,0.5539,0.0,0.0,0.040703
18854.9,404.3,0.5539,0.0,0.0,0.039659
18854.9,440.3,0.5539,0.0,0.0,0.038767
18854.9,476.3,0.5539,0.0,0.0,0.038008
18854.9,512.3,0.5539,0.0,0.0,0.037363
18854.9,548.3,0.5539,0.0,0.0,0.036818
18854.9,584.3,0.5539,0.0,0.0,0.03636
18854.9,620.3,0.5539,0.0,0.0,0.035979
18854.9,656.3,0.5539,0.0,0.0,0.035665
20305.3,80.3,0.5539,0.0,0.0,0.061702
20305.3,116.3,0.5539,0.0,0.0,0.057769
20305.3,152.3,0.5539,0.0,0.0,0.054435
20305.3,188.3,0.5539,0.0,0.0,0.051596
20305.3,224.3,0.5539,0.0,0.0,0.049171
20305.3,260.3,0.5539,0.0,0.0,0.047094
20305.3,296.3,0.5539,0.0,0.0,0.045312
20305.3,332.3,0.5539,0.0,0.0,0.043781
20305.3,368.3,0.5539,0.0,0.0,0.042464
20305.3,404.3,0.5539,0.0,0.0,0.041332
20305.3,440.3,0.5539,0.0,0.0,0.04036
20305.3,476.3,0.5539,0.0,0.0,0.039525
20305.3,512.3,0.5539,0.0,0.0,0.03881
20305.3,548.3,0.5539,0.0,0.0,0.0382
20305.3,584.3,0.5539,0.0,0.0,0.037682
20305.3,620.3,0.5539,0.0,0.0,0.037245
20305.3,656.3,0.5539,0.0,0.0,0.036878
21755.7,80.3,0.5539,0.0,0.0,0.064432
21755.7,116.3,0.5539,0.0,0.0,0.060343
21755.7,152.3,0.5539,0.0,0.0,0.056862
21755.7,188.3,0.5539,0.0,0.0,0.053888
21755.7,224.3,0.5539,0.0,0.0,0.051336
21755.7,260.3,0.5539,0.0,0.0,0.049142
21755.7,296.3,0.5539,0.0,0.0,0.047251
21755.7,332.3,0.5539,0.0,0.0,0.045619
21755.7,368.3,0.5539,0.0,0.0,0.04421
21755.7,404.3,0.5539,0.0,0.0,0.042991
21755.7,440.3,0.5539,0.0,0.0,0.041939
21755.7,476.3,0.5539,0.0,0.0,0.04103
21755.7,512.3,0.5539,0.0,0.0,0.040246
21755.7,548.3,0.5539,0.0,0.0,0.039573
21755.7,584.3,0.5539,0.0,0.0,0.038995
21755.7,620.3,0.5539,0.0,0.0,0.038502
21755.7,656.3,0.5539,0.0,0.0,0.038084
23206.1,80.3,0.5539,0.0,0.0,0.067139
23206.1,116.3,0.5539,0.0,0.0,0.062896
23206.1,152.3,0.5539,0.0,0.0,0.059272
23206.1,188.3,0.5539,0.0,0.0,0.056162
23206.1,224.3,0.5539,0.0,0.0,0.053485
23206.1,260.3,0.5539,0.0,0.0,0.051175
23206.1,296.3,0.5539,0.0,0.0,0.049177
23206.1,332.3,0.5539,0.0,0.0,0.047445
23206.1,368.3,0.5539,0.0,0.0,0.045944
23206.1,404.3,0.5539,0.0,0.0,0.04464
23206.1,440.3,0.5539,0.0,0.0,0.043508
23206.1,476.3,0.5539,0.0,0.0,0.042526
23206.1,512.3,0.5539,0.0,0.0,0.041675
23206.1,548.3,0.5539,0.0,0.0,0.040938
23206.1,584.3,0.5539,0.0,0.0,0.040301
23206.1,620.3,0.5539,0.0,0.0,0.039753
23206.1,656.3,0.5539,0.0,0.0,0.039284
24656.5,80.3,0.5539,0.0,0.0,0.069831
24656.5,116.3,0.5539,0.0,0.0,0.065436
24656.5,152.3,0.5539,0.0,0.0,0.061668
24656.5,188.3,0.5539,0.0,0.0,0.058425
24656.5,224.3,0.5539,0.0,0.0,0.055624
24656.5,260.3,0.5539,0.0,0.0,0.053199
24656.5,296.3,0.5539,0.0,0.0,0.051094
24656.5,332.3,0.5539,0.0,0.0,0.049264
24656.5,368.3,0.5539,0.0,0.0,0.04767
24656.5,404.3,0.5539,0.0,0.0,0.046282
24656.5,440.3,0.5539,0.0,0.0,0.045072
24656.5,476.3,0.5539,0.0,0.0,0.044017
24656.5,512.3,0.5539,0.0,0.0,0.043098
24656.5,548.3,0.5539,0.0,0.0,0.042298
24656.5,584.3,0.5539,0.0,0.0,0.041603
24656.5,620.3,0.5539,0.0,0.0,0.041001
24656.5,656.3,0.5539,0.0,0.0,0.04048
1450.4,80.3,0.9672,0.0,1.0,0.019961
1450.4,116.3,0.9672,0.0,1.0,0.020657
1450.4,152.3,0.9672,0.0,1.0,0.021366
1450.4,188.3,0.9672,0.0,1.0,0.02208
1450.4,224.3,0.9672,0.0,1.0,0.022795
1450.4,260.3,0.9672,0.0,1.0,0.023509
1450.4,296.3,0.9672,0.0,1.0,0.024218
1450.4,332.3,0.9672,0.0,1.0,0.024921
1450.4,368.3,0.9672,0.0,1.0,0.025617
1450.4,404.3,0.9672,0.0,1.0,0.026307
1450.4,440.3,0.9672,0.0,1.0,0.026989
1450.4,476.3,0.9672,0.0,1.0,0.027663
1450.4,512.3,0.9672,0.0,1.0,0.02833
1450.4,548.3,0.9672,0.0,1.0,0.028989
1450.4,584.3,0.9672,0.0,1.0,0.02964
1450.4,620.3,0.9672,0.0,1.0,0.030284
1450.4,656.3,0.9672,0.0,1.0,0.03092
1450.4,692.3,0.9672,0.0,1.0,0.031549
1450.4,728.3,0.9672,0.0,1.0,0.032172
1450.4,764.3,0.9672,0.0,1.0,0.032787
1450.4,800.3,0.9672,0.0,1.0,0.033397
2175.6,80.3,0.9672,0.0,1.0,0.021487
2175.6,116.3,0.9672,0.0,1.0,0.022007
2175.6,152.3,0.9672,0.0,1.0,0.022574
2175.6,188.3,0.9672,0.0,1.0,0.023173
2175.6,224.3,0.9672,0.0,1.0,0.023791
2175.6,260.3,0.9672,0.0,1.0,0.024421
2175.6,296.3,0.9672,0.0,1.0,0.025059
2175.6,332.3,0.9672,0.0,1.0,0.0257
2175.6,368.3,0.9672,0.0,1.0,0.026343
2175.6,404.3,0.9672,0.0,1.0,0.026984
2175.6,440.3,0.9672,0.0,1.0,0.027623
2175.6,476.3,0.9672,0.0,1.0,0.028259
2175.6,512.3,0.9672,0.0,1.0,0.028892
2175.6,548.3,0.9672,0.0,1.0,0.029519
2175.6,584.3,0.9672,0.0,1.0,0.030142
2175.6,620.3,0.9672,0.0,1.0,0.03076
2175.6,656.3,0.9672,0.0,1.0,0.031373
2175.6,692.3,0.9672,0.0,1.0,0.03198
2175.6,728.3,0.9672,0.0,1.0,0.032583
2175.6,764.3,0.9672,0.0,1.0,0.03318
2175.6,800.3,0.9672,0.0,1.0,0.033772
2900.8,80.3,0.9672,0.0,1.0,0.023184
2900.8,116.3,0.9672,0.0,1.0,0.02351
2900.8,152.3,0.9672,0.0,1.0,0.023922
2900.8,188.3,0.9672,0.0,1.0,0.024392
2900.8,224.3,0.9672,0.0,1.0,0.024903
2900.8,260.3,0.9672,0.0,1.0,0.025442
2900.8,296.3,0.9672,0.0,1.0,0.026001
2900.8,332.3,0.9672,0.0,1.0,0.026574
2900.8,368.3,0.9672,0.0,1.0,0.027156
2900.8,404.3,0.9672,0.0,1.0,0.027744
2900.8,440.3,0.9672,0.0,1.0,0.028336
2900.8,476.3,0.9672,0.0,1.0,0.028929
2900.8,512.3,0.9672,0.0,1.0,0.029523
2900.8,548.3,0.9672,0.0,1.0,0.030116
2900.8,584.3,0.9672,0.0,1.0,0.030707
2900.8,620.3,0.9672,0.0,1.0,0.031296
2900.8,656.3,0.9672,0.0,1.0,0.031882
2900.8,692.3,0.9672,0.0,1.0,0.032466
2900.8,728.3,0.9672,0.0,1.0,0.033046
2900.8,764.3,0.9672,0.0,1.0,0.033622
2900.8,800.3,0.9672,0.0,1.0,0.034195
3626.0,80.3,0.9672,0.0,1.0,0.024969
3626.0,116.3,0.9672,0.0,1.0,0.025093
3626.0,152.3,0.9672,0.0,1.0,0.025344
3626.0,188.3,0.9672,0.0,1.0,0.025683
3626.0,224.3,0.9672,0.0,1.0,0.026084
3626.0,260.3,0.9672,0.0,1.0,0.026529
